"시간","서버","채널","사용내용"
"2026-05-13 13:41:37","미닝 서포트서버","💙5채널","/농사"
"2026-05-13 13:41:39","미닝 서포트서버","💙5채널","/출석체크"
"2026-05-13 13:41:42","미닝 서포트서버","💙5채널","/파산신청"
"2026-05-13 13:41:46","미닝 서포트서버","💙5채널","/전리품"
"2026-05-13 13:41:46","미닝 서포트서버","💙5채널","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:-9,477,218원"
"2026-05-13 13:41:49","미닝 서포트서버","💙5채널","/쿠폰사용"
"2026-05-13 13:41:53","미닝 서포트서버","💙5채널","[모달 제출] customId:coupon_use_modal"
"2026-05-15 00:35:04","DM","unknown","/출석체크"
"2026-05-15 00:35:10","DM","unknown","/파산신청"
"2026-05-15 00:37:16","DM","unknown","/농사"
"2026-05-15 02:20:38","DM","unknown","/파산신청"
"2026-05-15 02:21:03","DM","unknown","/농사"
"2026-05-16 01:17:27","미닝 서포트서버","💙5채널","/파산신청"
"2026-05-16 01:17:29","미닝 서포트서버","💙5채널","/농사"
"2026-05-16 01:17:30","미닝 서포트서버","💙5채널","/출석체크"
"2026-05-16 01:17:33","미닝 서포트서버","💙5채널","/전리품"
"2026-05-16 01:17:34","미닝 서포트서버","💙5채널","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:3,836,965원"
"2026-05-16 01:30:36","미닝 서포트서버","💙5채널","/농사"
