"시간","서버","채널","사용내용"
"2026-05-14 08:34:33","DM","unknown","/가입"
"2026-05-14 08:34:42","DM","unknown","/출석체크"
"2026-05-14 08:34:45","DM","unknown","/전리품"
"2026-05-14 08:34:46","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,060,000원"
"2026-05-14 08:34:48","DM","unknown","/농사"
"2026-05-14 08:34:56","DM","unknown","/낚시 금액:2060000"
"2026-05-14 08:34:56","DM","unknown","[결과] 낚시 결과: **낚시 실패** / 배팅:2,060,000원 / 변동:-6,180,000원 / 잔액:-4,120,000원"
"2026-05-14 08:35:02","DM","unknown","/파산신청"
"2026-05-14 08:35:04","DM","unknown","/농사"
"2026-05-14 08:35:18","DM","unknown","/농사"
"2026-05-14 12:20:02","DM","unknown","/파산신청"
"2026-05-15 02:19:05","DM","unknown","/출석체크"
"2026-05-15 02:19:10","DM","unknown","/전리품"
"2026-05-15 02:19:11","DM","unknown","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:5,010,000원"
"2026-05-15 02:19:19","DM","unknown","/배그 금액:5010000"
"2026-05-15 02:19:19","DM","unknown","[결과] 배그 결과: 실버 / 배팅:5,010,000원 / 변동:-5,010,000원 / 잔액:0원"
"2026-05-15 02:19:32","DM","unknown","/농사"
"2026-05-15 21:53:13","DM","unknown","/파산신청"
"2026-05-16 01:36:30","DM","unknown","/출석체크"
"2026-05-16 04:41:45","DM","unknown","/쿠폰사용"
"2026-05-16 04:42:01","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-16 04:42:39","DM","unknown","/파산신청"
"2026-05-16 04:42:46","DM","unknown","/전리품"
"2026-05-16 04:42:47","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:510,000원"
"2026-05-16 04:42:55","DM","unknown","/배그 금액:510000"
"2026-05-16 04:42:56","DM","unknown","[결과] 배그 결과: 실버 / 배팅:510,000원 / 변동:-510,000원 / 잔액:0원"
"2026-05-16 11:45:45","DM","unknown","/농사"
"2026-05-16 11:45:47","DM","unknown","/출석체크"
"2026-05-17 01:31:49","DM","unknown","/쿠폰사용"
"2026-05-17 01:31:57","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-17 01:32:13","DM","unknown","/쿠폰사용"
"2026-05-17 01:32:19","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-17 01:32:26","DM","unknown","/가방"
"2026-05-17 01:32:29","DM","unknown","[선택 메뉴] customId:bag_select 값:mingBundle"
"2026-05-17 01:32:31","DM","unknown","[버튼 클릭] customId:open_mingBundle"
"2026-05-17 01:32:40","DM","unknown","/출석체크"
"2026-05-17 01:33:06","DM","unknown","/전리품"
"2026-05-17 01:33:06","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:510,000원"
"2026-05-17 01:33:12","DM","unknown","/배그 금액:510000"
"2026-05-17 01:33:12","DM","unknown","[결과] 배그 결과: 골드 / 배팅:510,000원 / 변동:510,000원 / 잔액:1,020,000원"
"2026-05-17 01:33:23","DM","unknown","/배그 금액:1020000"
"2026-05-17 01:33:24","DM","unknown","[결과] 배그 결과: 브론즈 / 배팅:1,020,000원 / 변동:-3,060,000원 / 잔액:-2,040,000원"
"2026-05-17 01:33:31","DM","unknown","/파산신청"
"2026-05-18 00:43:51","DM","unknown","/출석체크"
"2026-05-19 00:33:13","DM","unknown","/출석체크"
"2026-05-19 01:19:02","DM","unknown","/전리품"
"2026-05-19 01:19:03","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:1,000,000원"
"2026-05-19 01:19:17","DM","unknown","/낚시 금액:1000000"
"2026-05-19 01:19:17","DM","unknown","[결과] 낚시 결과: **낚시 실패** / 배팅:1,000,000원 / 변동:-7,000,000원 / 잔액:-6,000,000원"
"2026-05-19 01:19:24","DM","unknown","/파산신청"
"2026-05-19 01:19:32","DM","unknown","/가방"
"2026-05-19 01:19:35","DM","unknown","[선택 메뉴] customId:bag_select 값:bankruptcyPaper"
"2026-05-19 01:19:41","DM","unknown","/농사"
"2026-05-19 02:34:11","DM","unknown","/파산신청"
"2026-05-20 00:08:49","DM","unknown","/출석체크"
"2026-05-20 05:13:10","DM","unknown","/쿠폰사용"
"2026-05-20 05:13:17","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-20 05:13:22","DM","unknown","/전리품"
"2026-05-20 05:13:23","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:7,565,555원"
"2026-05-20 05:13:55","DM","unknown","/로또 금액:7565555"
"2026-05-20 05:13:55","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:7,565,555원 / 변동:-7,565,555원 / 잔액:0원"
"2026-05-20 05:20:50","DM","unknown","/전리품"
"2026-05-20 05:20:53","DM","unknown","/농사"
"2026-05-20 05:21:02","DM","unknown","/정보"
"2026-05-20 10:00:12","DM","unknown","/농사"
"2026-05-21 03:45:09","DM","unknown","/출석체크"
"2026-05-21 03:45:15","DM","unknown","/전리품"
"2026-05-21 03:45:16","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,010,000원"
"2026-05-21 03:45:22","DM","unknown","/배그 금액:2010000"
"2026-05-21 03:45:23","DM","unknown","[결과] 배그 결과: 크리스탈 / 배팅:2,010,000원 / 변동:14,070,000원 / 잔액:16,080,000원"
"2026-05-21 03:45:35","DM","unknown","/배그 금액:16080000"
"2026-05-21 03:45:36","DM","unknown","[결과] 배그 결과: 골드 / 배팅:16,080,000원 / 변동:16,080,000원 / 잔액:32,160,000원"
"2026-05-21 03:45:46","DM","unknown","/로또 금액:5000"
"2026-05-21 03:45:46","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:5,000원 / 변동:-5,000원 / 잔액:32,155,000원"
"2026-05-21 03:45:50","DM","unknown","/로또 금액:5000"
"2026-05-21 03:45:50","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:5,000원 / 변동:-5,000원 / 잔액:32,150,000원"
"2026-05-21 03:46:00","DM","unknown","/로또 금액:5000"
"2026-05-21 03:46:00","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:5,000원 / 변동:-5,000원 / 잔액:32,145,000원"
"2026-05-21 03:46:04","DM","unknown","/로또 금액:5000"
"2026-05-21 03:46:04","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:5,000원 / 변동:-5,000원 / 잔액:32,140,000원"
"2026-05-21 03:46:08","DM","unknown","/로또 금액:5000"
"2026-05-21 03:46:08","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:5,000원 / 변동:-5,000원 / 잔액:32,135,000원"
"2026-05-21 03:46:14","DM","unknown","/로또 금액:32135000"
"2026-05-21 03:46:14","DM","unknown","[결과] 로또 결과: **낙첨** / 배팅:32,135,000원 / 변동:-32,135,000원 / 잔액:0원"
"2026-05-22 07:52:31","DM","unknown","/출석체크"
"2026-05-23 02:51:07","DM","unknown","/출석체크"
"2026-05-24 09:52:26","DM","unknown","/출석체크"
"2026-05-25 01:06:16","DM","unknown","/출석체크"
"2026-05-25 01:06:20","DM","unknown","/전리품"
"2026-05-25 01:06:21","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,340,000원"
"2026-05-25 01:06:28","DM","unknown","/배그 금액:2340000"
"2026-05-25 01:06:29","DM","unknown","[결과] 배그 결과: 플래티넘 / 배팅:2,340,000원 / 변동:7,020,000원 / 잔액:9,360,000원"
"2026-05-25 01:06:40","DM","unknown","/낚시 금액:9360000"
"2026-05-25 01:06:40","DM","unknown","[결과] 낚시 결과: **낚시 실패** / 배팅:9,360,000원 / 변동:-9,360,000원 / 잔액:0원"
"2026-05-26 00:30:48","DM","unknown","/출석체크"
"2026-05-27 00:17:53","DM","unknown","/출석체크"
"2026-05-27 01:58:51","DM","unknown","/정보"
"2026-05-27 01:58:59","DM","unknown","/전리품"
"2026-05-27 01:58:59","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,020,000원"
"2026-05-27 01:59:03","DM","unknown","/낚시 금액:2020000"
"2026-05-27 01:59:03","DM","unknown","[결과] 낚시 결과: **낚시 실패** / 배팅:2,020,000원 / 변동:-14,140,000원 / 잔액:-12,120,000원"
"2026-05-27 01:59:08","DM","unknown","/파산신청"
"2026-05-28 00:18:59","DM","unknown","/출석체크"
"2026-05-28 00:25:45","DM","unknown","/파산신청"
"2026-05-28 01:52:30","DM","unknown","/파산신청"
"2026-05-28 04:20:53","DM","unknown","/파산신청"
"2026-05-28 11:43:20","DM","unknown","/정보"
"2026-05-28 11:43:30","DM","unknown","/파산신청"
"2026-05-28 11:43:32","DM","unknown","/전리품"
"2026-05-28 11:43:34","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:-1,012,500원"
"2026-05-28 14:31:03","DM","unknown","/정보"
"2026-05-28 14:31:11","DM","unknown","/전리품"
"2026-05-29 00:25:14","DM","unknown","/출석체크"
"2026-05-29 00:25:25","DM","unknown","/파산신청"
"2026-05-29 00:29:52","DM","unknown","/출석체크"
"2026-05-30 00:28:09","DM","unknown","/출석체크"
"2026-05-31 06:26:30","DM","unknown","/출석체크"
"2026-05-31 21:45:24","DM","unknown","/출석체크"
"2026-06-01 01:17:29","DM","unknown","/쿠폰사용"
"2026-06-01 01:17:32","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-06-01 19:08:08","DM","unknown","/출석체크"
"2026-06-01 19:09:45","DM","unknown","/출석체크"
"2026-06-02 00:30:49","DM","unknown","/출석체크"
